uniq_id,rank,iteration,distribution,mean,std,iterations,sleep_start,barrier_start,barrier_end,expected_sleep_nsec,actual_sleep_nsec
7d1bea60e09b7,5,5,gaussian,100000.000000,10000.000000,1000,1211339386,1297778638,1331096049,86433459,86439252
7d1bea60e09b7,0,5,gaussian,100000.000000,10000.000000,1000,1211648038,1317081821,1331410067,105426846,105433783
7d1bea60e09b7,4,5,gaussian,100000.000000,10000.000000,1000,1210750328,1310949007,1330511350,100194413,100198679
7d1bea60e09b7,3,5,gaussian,100000.000000,10000.000000,1000,1211481676,1307729943,1331239460,96242507,96248267
7d1bea60e09b7,13,6,gaussian,100000.000000,10000.000000,1000,1332539002,1423178470,1449145207,90636905,90639468
7d1bea60e09b7,8,6,gaussian,100000.000000,10000.000000,1000,1332894945,1449488141,1449501007,116581870,116593196
7d1bea60e09b7,10,6,gaussian,100000.000000,10000.000000,1000,1332899339,1428608381,1449505292,95697102,95709042
7d1bea60e09b7,9,6,gaussian,100000.000000,10000.000000,1000,1332510154,1446730334,1449116222,114212123,114220180
7d1bea60e09b7,15,6,gaussian,100000.000000,10000.000000,1000,1332840228,1435514426,1449444344,102665861,102674198
7d1bea60e09b7,14,6,gaussian,100000.000000,10000.000000,1000,1332901036,1432653216,1449507277,99741346,99752180
7d1bea60e09b7,12,6,gaussian,100000.000000,10000.000000,1000,1332857981,1413659031,1449464917,80789865,80801050
7d1bea60e09b7,11,6,gaussian,100000.000000,10000.000000,1000,1332519974,1431463625,1449120866,98934894,98943651
7d1bea60e09b7,2,6,gaussian,100000.000000,10000.000000,1000,1329961220,1424089666,1446567040,94125755,94128446
7d1bea60e09b7,6,6,gaussian,100000.000000,10000.000000,1000,1328714607,1423122886,1445320824,94405702,94408279
7d1bea60e09b7,7,6,gaussian,100000.000000,10000.000000,1000,1330987356,1436143554,1447591563,105151451,105156198
7d1bea60e09b7,1,6,gaussian,100000.000000,10000.000000,1000,1330873628,1443046019,1447479363,112163589,112172391
7d1bea60e09b7,5,6,gaussian,100000.000000,10000.000000,1000,1331096766,1411356120,1447703010,80253964,80259354
7d1bea60e09b7,0,6,gaussian,100000.000000,10000.000000,1000,1331410847,1405436367,1448017040,74020578,74025520
7d1bea60e09b7,4,6,gaussian,100000.000000,10000.000000,1000,1330512119,1431987395,1447118881,101470990,101475276
